Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Total,Date,Payment,Rating
South,Ooty,Normal,Male,"Eggs, Meat & Fish",498.0,2,49.8,996,1045.8,7/16/2017,Ewallet,8.8
West,Dharmapuri,Member,Female,Oil & Masala,500.0,5,125.0,2500,2625.0,1/30/2016,Cash,5.1
East,Tirunelveli,Member,Male,"Eggs, Meat & Fish",97.33,6,29.2,584,613.2,7/23/2016,Ewallet,8.0
South,Dindigul,Normal,Male,Bakery,237.14,7,83.0,1660,1743.0,08-12-2017,Credit card,5.3
West,Chennai,Normal,Female,Snacks,275.0,5,68.75,1375,1443.75,09-05-2017,Credit card,5.3
West,Karur,Member,Male,"Eggs, Meat & Fish",185.11,9,83.3,1666,1749.3,7/25/2016,Cash,9.2
West,Trichy,Normal,Female,Fruits & Veggies,2082.0,1,104.1,2082,2186.1,12-01-2016,Ewallet,5.5
South,Kanyakumari,Normal,Male,Oil & Masala,141.14,7,49.4,988,1037.4,12/24/2018,Ewallet,5.6
West,Nagercoil,Normal,Female,Oil & Masala,244.57,7,85.6,1712,1797.6,3/25/2018,Credit card,4.0
South,Namakkal,Member,Male,Snacks,140.5,4,28.1,562,590.1,03-08-2018,Credit card,9.2
South,Tenkasi,Member,Female,Oil & Masala,277.0,9,124.65,2493,2617.65,05-09-2017,Ewallet,8.8
West,Chennai,Normal,Female,Fruits & Veggies,445.2,5,111.3,2226,2337.3,05-09-2018,Ewallet,7.8
Central,Trichy,Member,Male,Snacks,505.75,4,101.15,2023,2124.15,06-12-2017,Ewallet,8.5
East,Pudukottai,Normal,Female,Oil & Masala,236.71,7,82.85,1657,1739.85,05-08-2017,Ewallet,4.9
West,Vellore,Normal,Female,Snacks,369.75,4,73.95,1479,1552.95,12-08-2015,Ewallet,6.7
East,Bodi,Normal,Female,Fruits & Veggies,509.0,3,76.35,1527,1603.35,2/21/2017,Ewallet,6.1
West,Ramanadhapuram,Normal,Female,Snacks,162.22,9,73.0,1460,1533.0,6/23/2016,Cash,4.6
West,Chennai,Normal,Female,Bakery,294.62,8,117.85,2357,2474.85,11-04-2017,Ewallet,6.9
East,Perambalur,Member,Female,Beverages,1840.0,1,92.0,1840,1932.0,11-08-2016,Credit card,9.5
West,Chennai,Normal,Male,Snacks,224.57,7,78.6,1572,1650.6,9/22/2018,Cash,4.2
West,Coimbatore,Member,Male,Fruits & Veggies,106.56,9,47.95,959,1006.95,7/26/2015,Ewallet,5.7
Central,Namakkal,Member,Male,Bakery,70.12,8,28.05,561,589.05,11/29/2016,Credit card,5.2
East,Ramanadhapuram,Normal,Male,Oil & Masala,253.5,8,101.4,2028,2129.4,9/29/2018,Cash,5.4
West,Madurai,Normal,Male,Oil & Masala,120.0,6,36.0,720,756.0,10/25/2016,Credit card,9.5
South,Ooty,Normal,Male,Fruits & Veggies,221.5,4,44.3,886,930.3,3/27/2018,Ewallet,6.8
South,Nagercoil,Normal,Female,Fruits & Veggies,96.5,8,38.6,772,810.6,12/25/2017,Ewallet,6.8
West,Tenkasi,Member,Male,Food Grains,652.67,3,97.9,1958,2055.9,9/24/2016,Ewallet,8.6
West,Ooty,Member,Male,Snacks,211.33,9,95.1,1902,1997.1,09-07-2018,Ewallet,4.9
East,Theni,Normal,Female,Food Grains,857.5,2,85.75,1715,1800.75,1/14/2015,Cash,6.9
West,Ramanadhapuram,Member,Male,Oil & Masala,1061.0,2,106.1,2122,2228.1,5/20/2018,Cash,6.6
East,Tirunelveli,Member,Female,"Eggs, Meat & Fish",212.43,7,74.35,1487,1561.35,05-12-2017,Credit card,7.6
East,Perambalur,Member,Male,Fruits & Veggies,451.25,4,90.25,1805,1895.25,1/20/2018,Ewallet,10.0
West,Pudukottai,Member,Female,Food Grains,289.88,8,115.95,2319,2434.95,11/19/2018,Credit card,8.6
East,Theni,Member,Female,Beverages,199.0,9,89.55,1791,1880.55,1/19/2018,Cash,6.4
South,Trichy,Member,Male,"Eggs, Meat & Fish",328.29,7,114.9,2298,2412.9,3/21/2015,Ewallet,9.0
South,Krishnagiri,Member,Male,Food Grains,265.6,5,66.4,1328,1394.4,12/16/2015,Ewallet,5.0
East,Dindigul,Member,Female,"Eggs, Meat & Fish",77.25,8,30.9,618,648.9,9/20/2018,Cash,4.2
West,Karur,Normal,Female,Beverages,195.5,4,39.1,782,821.1,12/21/2015,Cash,5.2
West,Dindigul,Member,Female,Fruits & Veggies,304.5,2,30.45,609,639.45,07-03-2017,Cash,6.0
Central,Vellore,Member,Female,Snacks,338.5,6,101.55,2031,2132.55,5/30/2015,Cash,7.1
Central,Trichy,Normal,Male,Snacks,70.67,9,31.8,636,667.8,02-06-2016,Cash,7.7
East,Coimbatore,Member,Male,Bakery,1907.0,1,95.35,1907,2002.35,12-04-2016,Ewallet,9.5
South,Pudukottai,Normal,Male,Bakery,168.29,7,58.9,1178,1236.9,06-08-2016,Cash,7.1
South,Ooty,Normal,Female,Beverages,151.78,9,68.3,1366,1434.3,11-02-2016,Ewallet,7.0
West,Tenkasi,Member,Female,Snacks,163.11,9,73.4,1468,1541.4,04-06-2015,Ewallet,4.3
East,Madurai,Member,Male,Bakery,584.0,3,87.6,1752,1839.6,11/30/2018,Cash,4.2
Central,Ramanadhapuram,Normal,Male,"Eggs, Meat & Fish",258.4,5,64.6,1292,1356.6,12-05-2018,Cash,7.3
East,Nagercoil,Normal,Male,Fruits & Veggies,70.88,8,28.35,567,595.35,12-05-2018,Ewallet,6.6
West,Vellore,Member,Male,"Eggs, Meat & Fish",209.5,8,83.8,1676,1759.8,05-04-2018,Cash,9.0
West,Namakkal,Normal,Female,Snacks,354.75,4,70.95,1419,1489.95,11-03-2018,Cash,5.0
East,Virudhunagar,Member,Female,Fruits & Veggies,1313.0,1,65.65,1313,1378.65,12-04-2017,Cash,4.1
Central,Perambalur,Normal,Female,Food Grains,824.0,1,41.2,824,865.2,1/13/2018,Credit card,6.7
Central,Coimbatore,Member,Male,Oil & Masala,489.0,4,97.8,1956,2053.8,05-02-2017,Ewallet,5.4
Central,Bodi,Normal,Male,Bakery,389.67,6,116.9,2338,2454.9,12/17/2016,Credit card,4.3
West,Karur,Normal,Female,Oil & Masala,230.88,8,92.35,1847,1939.35,8/21/2018,Cash,8.3
South,Nagercoil,Normal,Female,Food Grains,84.83,6,25.45,509,534.45,02-05-2017,Credit card,4.7
South,Cumbum,Normal,Female,Food Grains,209.0,9,94.05,1881,1975.05,11-03-2018,Cash,7.6
South,Vellore,Member,Female,Snacks,235.22,9,105.85,2117,2222.85,10-10-2017,Credit card,5.7
East,Krishnagiri,Member,Female,Oil & Masala,962.5,2,96.25,1925,2021.25,5/18/2018,Cash,5.0
East,Salem,Member,Female,Bakery,2114.0,1,105.7,2114,2219.7,12-01-2018,Credit card,6.3
West,Perambalur,Member,Male,Oil & Masala,938.5,2,93.85,1877,1970.85,9/26/2016,Credit card,8.8
South,Salem,Normal,Male,Bakery,375.8,5,93.95,1879,1972.95,10/28/2017,Credit card,6.4
South,Salem,Member,Male,Beverages,240.25,4,48.05,961,1009.05,10-11-2015,Ewallet,8.5
West,Coimbatore,Member,Male,Bakery,537.5,4,107.5,2150,2257.5,9/21/2015,Credit card,4.8
West,Perambalur,Normal,Female,Fruits & Veggies,260.11,9,117.05,2341,2458.05,09-05-2016,Ewallet,8.6
East,Ooty,Normal,Male,Snacks,87.5,8,35.0,700,735.0,12-06-2016,Cash,5.4
West,Kanyakumari,Normal,Female,Fruits & Veggies,320.0,6,96.0,1920,2016.0,2/21/2017,Credit card,8.1
South,Vellore,Normal,Female,Bakery,1501.0,1,75.05,1501,1576.05,04-04-2015,Cash,7.4
South,Viluppuram,Member,Male,Bakery,565.0,2,56.5,1130,1186.5,6/15/2018,Cash,9.6
South,Coimbatore,Member,Male,Bakery,321.0,6,96.3,1926,2022.3,5/26/2016,Credit card,6.3
Central,Trichy,Normal,Female,Beverages,1216.5,2,121.65,2433,2554.65,3/17/2015,Ewallet,4.4
West,Vellore,Normal,Male,Snacks,483.4,5,120.85,2417,2537.85,09-12-2017,Credit card,4.1
West,Karur,Member,Male,Snacks,129.6,5,32.4,648,680.4,3/13/2017,Cash,9.0
East,Kanyakumari,Normal,Male,Oil & Masala,155.17,6,46.55,931,977.55,05-04-2016,Cash,7.1
Central,Coimbatore,Member,Male,"Eggs, Meat & Fish",191.5,6,57.45,1149,1206.45,7/31/2017,Credit card,8.7
South,Vellore,Member,Female,Snacks,143.33,6,43.0,860,903.0,01-09-2016,Ewallet,5.4
East,Tirunelveli,Normal,Female,Snacks,622.5,2,62.25,1245,1307.25,11/19/2018,Ewallet,6.1
East,Dindigul,Normal,Female,Snacks,336.33,3,50.45,1009,1059.45,09-09-2018,Cash,4.2
South,Perambalur,Normal,Female,Beverages,97.33,6,29.2,584,613.2,5/15/2017,Cash,9.8
West,Namakkal,Member,Female,Snacks,189.0,8,75.6,1512,1587.6,8/19/2018,Ewallet,8.0
West,Cumbum,Normal,Male,Snacks,1043.0,1,52.15,1043,1095.15,9/21/2016,Credit card,9.6
West,Tirunelveli,Member,Female,Beverages,1307.0,1,65.35,1307,1372.35,12/24/2016,Cash,5.6
Central,Dindigul,Member,Female,Snacks,1035.0,2,103.5,2070,2173.5,09-11-2017,Ewallet,7.7
West,Karur,Normal,Female,Oil & Masala,255.33,6,76.6,1532,1608.6,09-04-2017,Cash,8.1
South,Trichy,Normal,Female,Beverages,266.33,9,119.85,2397,2516.85,12/29/2017,Credit card,5.9
West,Bodi,Normal,Male,Food Grains,187.5,4,37.5,750,787.5,12-01-2018,Ewallet,9.1
West,Dindigul,Normal,Male,Snacks,757.0,3,113.55,2271,2384.55,03-10-2017,Cash,9.7
Central,Krishnagiri,Normal,Male,Fruits & Veggies,122.0,8,48.8,976,1024.8,5/25/2016,Credit card,9.3
South,Cumbum,Normal,Male,Bakery,266.44,9,119.9,2398,2517.9,04-11-2016,Cash,8.4
South,Salem,Member,Female,"Eggs, Meat & Fish",313.0,5,78.25,1565,1643.25,10-02-2018,Credit card,5.7
East,Salem,Member,Female,Beverages,260.0,9,117.0,2340,2457.0,9/26/2015,Credit card,5.7
Central,Krishnagiri,Member,Male,Snacks,442.0,2,44.2,884,928.2,3/30/2016,Ewallet,9.8
Central,Dharmapuri,Member,Female,Oil & Masala,582.33,3,87.35,1747,1834.35,8/26/2017,Credit card,4.1
West,Dindigul,Normal,Male,Oil & Masala,183.57,7,64.25,1285,1349.25,12/20/2016,Cash,8.3
East,Ooty,Member,Male,Food Grains,265.14,7,92.8,1856,1948.8,11-09-2018,Credit card,8.2
West,Nagercoil,Member,Male,Food Grains,389.17,6,116.75,2335,2451.75,12-06-2017,Credit card,7.7
West,Madurai,Member,Male,Fruits & Veggies,144.67,6,43.4,868,911.4,11/13/2018,Ewallet,9.9
West,Ooty,Normal,Female,Food Grains,765.5,2,76.55,1531,1607.55,8/21/2016,Credit card,5.9
East,Cumbum,Member,Male,"Eggs, Meat & Fish",205.83,6,61.75,1235,1296.75,06-12-2017,Credit card,6.0
West,Dindigul,Normal,Female,Beverages,132.75,4,26.55,531,557.55,09-11-2017,Cash,4.5
West,Tirunelveli,Member,Female,Fruits & Veggies,825.33,3,123.8,2476,2599.8,12-12-2016,Ewallet,6.7
East,Madurai,Member,Male,Oil & Masala,844.5,2,84.45,1689,1773.45,9/17/2016,Ewallet,5.6
West,Nagercoil,Normal,Female,"Eggs, Meat & Fish",1784.0,1,89.2,1784,1873.2,09-11-2016,Ewallet,6.1
East,Vellore,Normal,Female,Food Grains,230.8,5,57.7,1154,1211.7,5/28/2016,Credit card,9.0
Central,Madurai,Member,Male,Beverages,381.0,2,38.1,762,800.1,10/21/2017,Ewallet,9.6
East,Vellore,Normal,Female,Beverages,1123.5,2,112.35,2247,2359.35,10/14/2015,Credit card,5.1
East,Karur,Normal,Male,Oil & Masala,167.29,7,58.55,1171,1229.55,11-04-2015,Credit card,6.2
West,Ramanadhapuram,Member,Male,Bakery,80.5,8,32.2,644,676.2,6/27/2017,Cash,9.6
East,Vellore,Normal,Male,Beverages,123.75,8,49.5,990,1039.5,1/16/2015,Cash,4.4
South,Viluppuram,Normal,Female,Fruits & Veggies,541.75,4,108.35,2167,2275.35,12/25/2018,Cash,4.6
Central,Cumbum,Normal,Female,Bakery,2298.0,1,114.9,2298,2412.9,8/29/2018,Cash,5.0
East,Dindigul,Normal,Male,"Eggs, Meat & Fish",236.57,7,82.8,1656,1738.8,11/30/2018,Cash,7.6
East,Kanyakumari,Normal,Male,Bakery,902.0,1,45.1,902,947.1,12/13/2018,Credit card,4.9
West,Tirunelveli,Normal,Female,Beverages,407.5,4,81.5,1630,1711.5,11-01-2016,Credit card,9.8
East,Dindigul,Normal,Male,Fruits & Veggies,166.38,8,66.55,1331,1397.55,11-11-2015,Ewallet,6.7
East,Vellore,Normal,Male,Snacks,700.0,2,70.0,1400,1470.0,9/17/2016,Credit card,7.0
East,Ooty,Normal,Male,Snacks,259.33,6,77.8,1556,1633.8,10/23/2018,Credit card,5.5
East,Viluppuram,Normal,Female,Bakery,334.5,6,100.35,2007,2107.35,2/16/2017,Cash,6.8
East,Kanyakumari,Normal,Male,Oil & Masala,109.89,9,49.45,989,1038.45,9/17/2016,Credit card,8.0
East,Kanyakumari,Member,Female,Beverages,428.0,5,107.0,2140,2247.0,09-05-2017,Cash,8.5
Central,Theni,Normal,Female,Beverages,578.5,4,115.7,2314,2429.7,09-08-2018,Ewallet,8.5
East,Ooty,Normal,Male,Bakery,223.6,5,55.9,1118,1173.9,10-12-2018,Ewallet,7.5
West,Kanyakumari,Member,Female,Bakery,376.6,5,94.15,1883,1977.15,7/14/2018,Credit card,9.4
South,Cumbum,Normal,Male,Beverages,67.5,8,27.0,540,567.0,11/23/2018,Ewallet,8.9
West,Viluppuram,Member,Female,Beverages,184.12,8,73.65,1473,1546.65,12/24/2017,Credit card,8.5
East,Dharmapuri,Member,Female,Bakery,1240.5,2,124.05,2481,2605.05,7/25/2017,Ewallet,4.3
East,Perambalur,Normal,Female,Snacks,335.43,7,117.4,2348,2465.4,11-05-2018,Cash,4.0
East,Salem,Member,Male,Bakery,260.75,8,104.3,2086,2190.3,11-11-2017,Cash,5.3
West,Cumbum,Normal,Female,Snacks,318.0,6,95.4,1908,2003.4,11/24/2016,Cash,8.0
East,Ramanadhapuram,Normal,Male,Snacks,225.4,5,56.35,1127,1183.35,4/18/2016,Cash,6.5
East,Namakkal,Normal,Male,Bakery,156.22,9,70.3,1406,1476.3,10/30/2018,Credit card,6.4
West,Tirunelveli,Member,Male,Snacks,537.67,3,80.65,1613,1693.65,04-04-2015,Ewallet,9.3
East,Tenkasi,Member,Female,Beverages,176.5,4,35.3,706,741.3,6/25/2016,Credit card,9.4
East,Krishnagiri,Normal,Female,Oil & Masala,58.33,9,26.25,525,551.25,10/15/2015,Cash,9.5
Central,Karur,Normal,Male,Oil & Masala,292.0,6,87.6,1752,1839.6,6/13/2017,Credit card,5.9
West,Vellore,Normal,Female,"Eggs, Meat & Fish",134.25,8,53.7,1074,1127.7,6/17/2018,Ewallet,8.1
Central,Vellore,Member,Male,"Eggs, Meat & Fish",132.14,7,46.25,925,971.25,11/28/2015,Credit card,5.6
West,Tenkasi,Normal,Female,Bakery,385.5,2,38.55,771,809.55,11/25/2018,Ewallet,5.1
South,Vellore,Normal,Male,"Eggs, Meat & Fish",668.67,3,100.3,2006,2106.3,12/28/2018,Credit card,5.1
East,Theni,Normal,Female,Bakery,1073.0,1,53.65,1073,1126.65,1/13/2015,Ewallet,6.1
East,Chennai,Member,Male,Food Grains,183.33,9,82.5,1650,1732.5,3/19/2017,Ewallet,6.6
South,Madurai,Normal,Female,"Eggs, Meat & Fish",299.86,7,104.95,2099,2203.95,11/28/2015,Cash,9.0
East,Vellore,Normal,Male,Food Grains,1630.0,1,81.5,1630,1711.5,8/22/2017,Ewallet,4.7
West,Madurai,Normal,Male,Snacks,211.67,3,31.75,635,666.75,1/30/2018,Cash,8.4
Central,Bodi,Member,Male,Food Grains,329.75,4,65.95,1319,1384.95,7/28/2017,Cash,7.2
Central,Ooty,Normal,Female,Snacks,452.75,4,90.55,1811,1901.55,09-08-2018,Cash,5.7
Central,Pudukottai,Normal,Female,Fruits & Veggies,122.0,5,30.5,610,640.5,09-07-2015,Credit card,7.0
Central,Virudhunagar,Member,Male,Oil & Masala,738.33,3,110.75,2215,2325.75,08-08-2015,Credit card,5.8
Central,Virudhunagar,Normal,Female,Oil & Masala,777.0,3,116.55,2331,2447.55,3/14/2015,Credit card,7.6
East,Virudhunagar,Normal,Female,Beverages,1110.0,1,55.5,1110,1165.5,11/19/2015,Credit card,6.6
West,Tenkasi,Member,Female,Oil & Masala,193.43,7,67.7,1354,1421.7,3/20/2017,Ewallet,5.0
West,Bodi,Member,Female,Fruits & Veggies,1043.0,1,52.15,1043,1095.15,9/21/2016,Ewallet,4.7
West,Kanyakumari,Normal,Male,Food Grains,531.5,2,53.15,1063,1116.15,6/25/2018,Credit card,7.3
Central,Coimbatore,Member,Male,"Eggs, Meat & Fish",575.75,4,115.15,2303,2418.15,09-05-2017,Ewallet,9.4
East,Ramanadhapuram,Normal,Female,Snacks,338.0,4,67.6,1352,1419.6,11/18/2018,Ewallet,6.1
West,Cumbum,Member,Female,Fruits & Veggies,360.2,5,90.05,1801,1891.05,3/13/2018,Cash,8.4
West,Ooty,Normal,Female,Fruits & Veggies,518.5,2,51.85,1037,1088.85,9/24/2017,Cash,8.0
West,Virudhunagar,Member,Male,"Eggs, Meat & Fish",198.75,4,39.75,795,834.75,2/22/2017,Cash,9.6
East,Krishnagiri,Normal,Male,Food Grains,1742.0,1,87.1,1742,1829.1,08-03-2015,Cash,8.9
Central,Vellore,Normal,Female,Snacks,392.0,2,39.2,784,823.2,4/20/2018,Ewallet,7.4
West,Vellore,Normal,Female,Fruits & Veggies,2018.0,1,100.9,2018,2118.9,11/27/2016,Credit card,7.9
South,Vellore,Normal,Female,"Eggs, Meat & Fish",419.5,4,83.9,1678,1761.9,06-06-2017,Ewallet,9.4
South,Vellore,Member,Female,Fruits & Veggies,131.25,4,26.25,525,551.25,02-02-2015,Ewallet,6.4
South,Dharmapuri,Normal,Female,Food Grains,140.14,7,49.05,981,1030.05,9/18/2018,Ewallet,6.0
Central,Vellore,Member,Male,Bakery,192.56,9,86.65,1733,1819.65,01-04-2016,Cash,4.1
East,Trichy,Member,Male,Fruits & Veggies,184.78,9,83.15,1663,1746.15,5/23/2016,Cash,9.0
East,Krishnagiri,Member,Female,"Eggs, Meat & Fish",435.6,5,108.9,2178,2286.9,9/23/2015,Cash,8.8
East,Virudhunagar,Member,Female,Food Grains,2092.0,1,104.6,2092,2196.6,7/22/2015,Credit card,4.6
West,Nagercoil,Normal,Male,Beverages,1936.0,1,96.8,1936,2032.8,10/27/2017,Ewallet,7.5
Central,Namakkal,Normal,Male,Food Grains,245.33,6,73.6,1472,1545.6,6/26/2018,Credit card,6.8
West,Chennai,Member,Female,Snacks,437.0,2,43.7,874,917.7,07-07-2017,Cash,4.7
West,Vellore,Member,Male,Fruits & Veggies,242.88,8,97.15,1943,2040.15,08-02-2017,Credit card,9.9
East,Salem,Normal,Male,Fruits & Veggies,137.56,9,61.9,1238,1299.9,7/31/2016,Ewallet,5.3
East,Theni,Member,Female,Fruits & Veggies,400.25,4,80.05,1601,1681.05,11-07-2018,Ewallet,4.4
West,Namakkal,Member,Female,Bakery,464.2,5,116.05,2321,2437.05,6/25/2015,Cash,7.6
West,Theni,Member,Female,Fruits & Veggies,153.62,8,61.45,1229,1290.45,9/24/2018,Cash,8.4
West,Dindigul,Normal,Male,"Eggs, Meat & Fish",646.67,3,97.0,1940,2037.0,12/24/2016,Credit card,4.2
West,Pudukottai,Normal,Female,Bakery,473.2,5,118.3,2366,2484.3,3/29/2016,Cash,8.0
West,Nagercoil,Member,Male,Beverages,766.67,3,115.0,2300,2415.0,05-05-2018,Cash,7.2
South,Coimbatore,Member,Male,Bakery,331.33,3,49.7,994,1043.7,08-12-2015,Ewallet,4.6
South,Theni,Normal,Female,Beverages,760.33,3,114.05,2281,2395.05,12-11-2016,Cash,5.0
East,Ramanadhapuram,Normal,Female,Beverages,241.57,7,84.55,1691,1775.55,11/13/2016,Cash,7.4
Central,Theni,Member,Female,Fruits & Veggies,265.57,7,92.95,1859,1951.95,09-04-2017,Ewallet,5.8
West,Dindigul,Normal,Female,Oil & Masala,220.14,7,77.05,1541,1618.05,12-11-2017,Ewallet,9.6
West,Ooty,Member,Female,Beverages,300.62,8,120.25,2405,2525.25,5/26/2015,Credit card,8.9
East,Madurai,Member,Male,Beverages,220.6,5,55.15,1103,1158.15,11/21/2017,Cash,9.9
South,Trichy,Normal,Male,Fruits & Veggies,391.2,5,97.8,1956,2053.8,12-10-2016,Ewallet,5.6
East,Viluppuram,Member,Male,Food Grains,142.0,4,28.4,568,596.4,7/24/2017,Credit card,9.8
South,Ramanadhapuram,Normal,Male,Beverages,356.14,7,124.65,2493,2617.65,01-09-2016,Credit card,6.6
South,Krishnagiri,Member,Female,Snacks,159.5,4,31.9,638,669.9,1/26/2018,Cash,6.1
West,Cumbum,Member,Male,Oil & Masala,950.5,2,95.05,1901,1996.05,02-03-2016,Cash,4.3
East,Ooty,Normal,Female,Beverages,418.75,4,83.75,1675,1758.75,5/28/2017,Credit card,4.3
East,Cumbum,Member,Female,Beverages,299.0,8,119.6,2392,2511.6,08-02-2016,Ewallet,8.2
Central,Tirunelveli,Normal,Female,Fruits & Veggies,205.0,9,92.25,1845,1937.25,6/19/2018,Credit card,6.7
West,Dindigul,Member,Female,Food Grains,284.67,3,42.7,854,896.7,10/21/2018,Cash,5.4
Central,Viluppuram,Member,Female,Bakery,294.57,7,103.1,2062,2165.1,8/27/2018,Ewallet,7.7
South,Salem,Member,Female,Snacks,205.11,9,92.3,1846,1938.3,12-11-2017,Ewallet,5.5
West,Namakkal,Normal,Male,Food Grains,519.0,4,103.8,2076,2179.8,7/28/2018,Credit card,7.5
South,Kanyakumari,Member,Female,Beverages,675.67,3,101.35,2027,2128.35,06-12-2017,Cash,6.2
South,Nagercoil,Normal,Male,Oil & Masala,394.8,5,98.7,1974,2072.7,11/30/2015,Credit card,8.9
East,Pudukottai,Member,Male,Snacks,818.0,1,40.9,818,858.9,11-10-2017,Credit card,8.9
West,Pudukottai,Normal,Female,Food Grains,762.0,3,114.3,2286,2400.3,4/13/2016,Credit card,6.9
South,Tirunelveli,Member,Male,Fruits & Veggies,161.0,8,64.4,1288,1352.4,1/21/2018,Ewallet,6.1
East,Salem,Normal,Female,Bakery,150.75,8,60.3,1206,1266.3,08-12-2017,Ewallet,6.2
East,Nagercoil,Normal,Female,Bakery,452.75,4,90.55,1811,1901.55,6/18/2017,Cash,8.8
West,Perambalur,Normal,Female,Snacks,789.5,2,78.95,1579,1657.95,7/25/2016,Cash,6.0
West,Ooty,Normal,Male,Food Grains,124.38,8,49.75,995,1044.75,6/14/2017,Credit card,5.3
Central,Madurai,Normal,Male,Food Grains,266.0,8,106.4,2128,2234.4,1/31/2016,Credit card,4.5
West,Karur,Normal,Female,Oil & Masala,244.75,4,48.95,979,1027.95,9/20/2015,Credit card,6.8
West,Pudukottai,Member,Male,Snacks,461.67,3,69.25,1385,1454.25,12-06-2017,Cash,6.9
South,Viluppuram,Member,Female,Snacks,1000.0,2,100.0,2000,2100.0,12-11-2016,Ewallet,9.0
